10/19/2020 19:27:44,Lauren Ipsum,Accomplished,Accomplished,Accomplished,Accomplished,Accomplished,,,;
10/19/2020 19:27:47,Lauren Ipsum,Accomplished,Excels,Excels,Excels,Excels,brilliant!  Loved the use of the props.  Very lively and engaging,I'm sorry I can't think of anything - loved it,;
"10/19/2020 19:27:58,Lauren Ipsum,,,,,,""I like your props, brilliant leadership style descriptions "",,Sam";
10/19/2020 19:28:00,Lauren Ipsum,Accomplished,Accomplished,Accomplished,Accomplished,Accomplished,You opened up, I loved it! The amount of props brought up was brilliant,Some gaps, like you have lost track here and there but overall very enjoyable. Watch out when using my or I. The audience likes to hear more Your or you.,Alice;
"10/19/2020 19:28:15,Lauren Ipsum,Developing,Excels,Accomplished,Accomplished,Accomplished,""I love the creative vocal variety and role playing input to your speech with the props";
",you need to practice your speech more before delivery to help reflect your structure and content,John
10/19/2020 19:28:16,Lauren Ipsum,Accomplished,Excels,Excels,Excels,Excels,Was very expressive, had comedic elements which made the speech more engaging and you share more empathy towards the speaker and how the view themselves as a leader"",In some parts seemed nervous,";
"10/19/2020 19:28:27,Lauren Ipsum,Accomplished,Excels,Excels,Excels,Excels,""I do like your new style of speech! well done."",""If you could stand up to deliver the speech, it would be greater"",Phil";
10/19/2020 19:28:30,Lauren Ipsum,Excels,Excels,Excels,Excels,Excels, her passion for helping people grow and live fulfilling life ,None ,Jack ;
"10/19/2020 19:28:46,Lauren Ipsum,Excels,Excels,Excels,Excels,Excels,""Great gestures, vocal variety, role playing, you gave us soo much to enjoy in this speech, great job"",""i only noticed that you seem to forget or mix up a few words, but it didn't affect to great impact of the speech."",Rob";
"10/19/2020 19:31:01,Lauren Ipsum,Accomplished,Excels,Excels,Excels,Excels,""Absolutely loved this! so funny and very inspirational, great use of vocal variety, great ending "",""It got more serious towards the end , I would have loved it if kept some more of that funny, fast paced tempo/style or that the contrast wasn't so big. It worked well to blend styles/""""seriousness"""", to be more serious and inspirational at the end though, so I suppose I think you could have taken up a little bit more space for """"yourself"""" in the middle section as it was great to get to know you better and it had a great energy and was so funny. This is just a minor thing, overall, amazing speech! "",Joanne";
10/19/2020 19:31:10,Lauren Ipsum,Accomplished,Excels,Excels,Excels,Excels,It was totally captivating and informative. It gave life and interest to a boring topic ,Slow down sometimes not to jumble some words but this was not happening often. It was a really great presentation overall 9/10,;
10/19/2020 19:35:02,Jane Doe,Excels,Excels,Excels,Excels,Excels,,,;
"10/19/2020 19:35:09,Jane Doe,Excels,Excels,Excels,Excels,Excels,""How to use our time, and how Paul has been using his time "",None ,Tom ";
"10/19/2020 19:35:18,Jane Doe,Excels,Accomplished,Excels,Developing,Developing,Very good pace of your speech and I really like your voice.,""If you could stand up and use more body languages, it would better."",";
"10/19/2020 19:35:22,Jane Doe,Excels,Excels,Excels,Excels,Excels,""Enjoyed the addition of quotes, rounded off the speech nicely and made it feel more engaging."",,";
10/19/2020 19:35:26,Jane Doe,Accomplished,Accomplished,Accomplished,Accomplished,Accomplished,The pace - not too fast or too slow. The topic was interesting and the stats given really thought provoking. Thanks ,,Rob ;
10/19/2020 19:35:35,Jane Doe,Accomplished,Accomplished,Developing,Accomplished,Developing,,,;
10/19/2020 19:35:37,Jane Doe,Excels,Developing,Excels,Accomplished,Accomplished,I loved the underlying message of learning and time,,;
10/19/2020 19:35:43,Jane Doe,,,,,,Great speech. Well done. ,Practice make you perfect,Alice;
"10/19/2020 19:35:44,Jane Doe,Excels,Accomplished,Accomplished,Accomplished,Accomplished,""Great pace, very clear, topic well introduced."",""Be mindful of your background.... ";
"Also what is the call to action for the audience? To follow you? To listen to your podcast? Why? What is the value proposition for the audience."",Anne";
10/19/2020 19:35:52,Jane Doe,Excels,Excels,Accomplished,Accomplished,Accomplished,,,;
"10/19/2020 19:36:56,Jane Doe,Excels,Developing,Accomplished,Developing,Developing,It was a clear message and clearly communicated,""Perhaps try to vary intonation more to show more enthusiasm, I could see that this is something you really care about so some more enthusiasm would have helped to make it more engaging"",";
"10/19/2020 19:37:52,Jane Doe,Accomplished,Accomplished,Excels,Accomplished,Accomplished,""Great story of your journey, well structured, beginning middle and end. you came across very natural and relaxed"",""you used a lot of filler words, and felt you more vocal variety to match the emotions of your speech would improve the impact"",Tom";
"10/19/2020 19:50:25,Alice Wonder,Excels,Accomplished,Accomplished,Developing,Excels,""You have a great command of adjectives, lots of colourful words which i always enjoy"",More vocal variety more gestures as the the camera was to high so could not see your hands,Lauren";
10/20/2020 10:56:37,John Smith,Excels,Excels,Excels,Excels,Excels,The passion for being an author and his dream in working towards becoming an successful  ,None ,Simone ;
10/20/2020 11:03:52,Alice Wonder,Excels,Excels,Excels,Excels,Excels,The information about leadership ,None ,Sam ;
